,CAR MAKE,CAR MAKE LOCATION,CAR MODEL(Full Name),CAR MODEL(Short Name),CAR MODEL LOCATION,CAR TYPE,COLLECT,ADDED,BUYOUT NUM
170,CHEVROLET,"(3, 5)",2020 CHEVROLET SILVERADO LT TRAIL BOSS,CHEVY TRAIL BOSS,21.0,PICKUPS & 4X4S,AUTOSHOW DLC,AMERICAN AUTO CAR PACK,0
171,CHEVROLET,"(3, 5)",2023 CHEVROLET CORVETTE Z06,CORVETTE Z06 '23,34.0,TRACK TOYS,SEASONAL,SERIES 27,0
172,CHEVROLET,"(3, 5)",2024 CHEVROLET CORVETTE E-RAY,CORVETTE E-RAY,33.0,MODERN SUPERCARS,AUTOSHOW,,0
173,CITROËN,"(4, 5)",1986 CITROËN BX4TC,CITROËN BX4TC,,RETRO RALLY,"BACKSTAGE, SEASONAL",SERIES 34,0
174,CUPRA,"(0, 6)",2022 CUPRA FORMENTOR VZ5,FORMENTOR '22,1.0,SPORTS UTILITY HEROES,AUTOSHOW,SERIES 21,0
175,CUPRA,"(0, 6)",2022 CUPRA TAVASCAN CONCEPT,TAVASCAN '22,,SPORTS UTILITY HEROES,AUTOSHOW,SERIES 21,0
176,CUPRA,"(0, 6)",2022 CUPRA URBANREBEL CONCEPT,URBANREBEL '22,3.0,TRACK TOYS,AUTOSHOW,SERIES 15,0
177,CZINGER,"(1, 6)",2024 CZINGER 21C,CZINGER 21C,1.0,EXTREME TRACK TOYS,AUTOSHOW DLC,AMERICAN AUTO CAR PACK,0
178,DATSUN,"(2, 6)",1970 DATSUN 510,DATSUN 510,1.0,CULT CARS,"AUTOSHOW, WHEELSPIN",,0
179,DEBERTI,"(3, 6)",1961 DEBERTI FORD ECONOLINE 'SHOP ROD',DEBERTI SHOP ROD,5.0,RODS AND CUSTOMS,AUTOSHOW DLC,AMERICAN AUTO CAR PACK,0
180,DEBERTI,"(3, 6)",1965 DEBERTI CHEVROLET C10 ‘SLAYER’,C10 SLAYER '65,,RODS AND CUSTOMS,SEASONAL,SERIES 41,0
181,DEBERTI,"(3, 6)",2018 DEBERTI WRANGLER UNLIMITED,DEBERTI WRANGLER,6.0,UNLIMITED OFFROAD,"CAR MASTERY, SEASONAL",,0
182,DEBERTI,"(3, 6)",2018 DEBERTI CHEVROLET SILVERADO 1500 DRIFT TRUCK,SILVERADO DD,8.0,DRIFT CARS,"AUTOSHOW, WHEELSPIN",,0
183,DEBERTI,"(3, 6)",2018 DEBERTI F-150 PRERUNNER TRUCK,DEBERTI F-150,3.0,UNLIMITED OFFROAD,"AUTOSHOW, WHEELSPIN",,0
184,DEBERTI,"(3, 6)",2018 DEBERTI FORD MUSTANG GT,FORD MUSTANG DD,7.0,MODERN MUSCLE,SEASONAL,SERIES 23,0
185,DEBERTI,"(3, 6)",2019 DEBERTI FORD SUPER DUTY F-250 LARIAT 'TRANSFORMER',DEBERTI F-250,4.0,UNLIMITED OFFROAD,SEASONAL,SERIES 21,0
186,DEBERTI,"(3, 6)",2019 DEBERTI TOYOTA TACOMA TRD THE PERFORMANCE TRUCK,DD TACOMA TRD,2.0,DRIFT CARS,AUTOSHOW,,0
187,DELOREAN,"(4, 6)",1982 DELOREAN DMC-12,DELOREAN DMC-12,1.0,RETRO SPORTS CARS,SEASONAL,SERIES 1,0
188,DODGE,"(0, 7)",1968 DODGE DART HEMI SUPER STOCK,DODGE DART '68,,CLASSIC MUSCLE,BARN FIND,,0
189,DODGE,"(0, 7)",1969 DODGE CHARGER DAYTONA HEMI,CHARGER DAYTONA,4.0,CLASSIC MUSCLE,"CAR MASTERY, SEASONAL",,0
190,DODGE,"(0, 7)",1969 DODGE CHARGER R/T,DODGE CHARGER ’69,,CLASSIC MUSCLE,"AUTOSHOW, WHEELSPIN",,0
191,DODGE,"(0, 7)",1969 DODGE CHARGER R/T FORZA EDITION,CHARGER '69 FE,3.0,TRACK TOYS,AUTOSHOW DLC,VIP,0
192,DODGE,"(0, 7)",1970 DODGE CHALLENGER R/T,CHALLENGER '70,2.0,CLASSIC MUSCLE,"AUTOSHOW, WHEELSPIN",,0
193,DODGE,"(0, 7)",1970 DODGE CORONET SUPER BEE,DODGE SUPER BEE,10.0,CLASSIC MUSCLE,SEASONAL,SERIES 9,0
194,DODGE,"(0, 7)",1999 DODGE VIPER GTS ACR,DODGE VIPER '99,,RETRO MUSCLE,BARN FIND,,0
195,DODGE,"(0, 7)",2008 DODGE MAGNUM SRT8,DODGE MAGNUM,8.0,MODERN MUSCLE,AUTOSHOW DLC,CAR PASS,0
196,DODGE,"(0, 7)",2008 DODGE VIPER SRT10 ACR,DODGE VIPER '08,11.0,TRACK TOYS,"AUTOSHOW, WHEELSPIN",,0
197,DODGE,"(0, 7)",2013 DODGE SRT VIPER GTS,DODGE VIPER '13,12.0,MODERN MUSCLE,"AUTOSHOW, WHEELSPIN",,0
198,DODGE,"(0, 7)",2013 DODGE SRT VIPER GTS ANNIVERSARY EDITION,VIPER '13 AE,15.0,MODERN MUSCLE,ACCOLADE,SERIES 13,0
199,DODGE,"(0, 7)",2015 DODGE CHALLENGER SRT HELLCAT,CHALLENGER '15,1.0,MODERN MUSCLE,"AUTOSHOW, WHEELSPIN",,0
200,DODGE,"(0, 7)",2015 DODGE CHARGER SRT HELLCAT,DODGE CHARGER 15,6.0,MODERN MUSCLE,"AUTOSHOW, WHEELSPIN",,0
201,DODGE,"(0, 7)",2016 DODGE VIPER ACR,DODGE VIPER '16,13.0,TRACK TOYS,AUTOSHOW,,0
202,DODGE,"(0, 7)",2018 DODGE CHALLENGER SRT DEMON,DODGE SRT DEMON,9.0,MODERN MUSCLE,"AUTOSHOW, WHEELSPIN",,0
203,DODGE,"(0, 7)",2018 DODGE DURANGO SRT,DODGE DURANGO,7.0,SPORTS UTILITY HEROES,"AUTOSHOW, WHEELSPIN",,0
204,DODGE,"(0, 7)",2021 DODGE DURANGO SRT HELLCAT,SRT DURANGO '21,14.0,SPORTS UTILITY HEROES,SEASONAL,SERIES 37,0
205,DONKERVOORT,"(1, 7)",2013 DONKERVOORT D8 GTO,DONKERVOORT GTO,1.0,TRACK TOYS,SEASONAL,SERIES 3,0
206,DS AUTOMOBILES,"(2, 7)",1975 DS AUTOMOBILES DS 23,DS 23,1.0,CULT CARS,SEASONAL,SERIES 31,0
207,EAGLE,"(3, 7)",2012 EAGLE SPEEDSTER,EAGLE SPEEDSTER,1.0,MODERN SPORTS CARS,SEASONAL,SERIES 13,0
208,ELEMENTAL,"(4, 7)",2019 ELEMENTAL RP1,ELEMENTAL RP1,,TRACK TOYS,AUTOSHOW DLC,SUPER SPEED CAR PACK,0
209,EXOMOTIVE,"(0, 8)",2018 EXOMOTIVE EXOCET OFF-ROAD,EXOCET OFF-ROAD,1.0,UNLIMITED BUGGIES,"AUTOSHOW, WHEELSPIN",,0
210,EXOMOTIVE,"(0, 8)",2018 EXOMOTIVE EXOCET OFF-ROAD FORZA EDITION,EXOCET OR FE,2.0,RALLY MONSTERS,"WHEELSPIN, SEASONAL",,0
211,EXTREME E,"(1, 8)",2022 EXTREME E #125 ABT CUPRA XE,"#125 EXTREME E, NO.125 EXTREME E",,UNLIMITED OFFROAD,SEASONAL,SERIES 10,0
212,EXTREME E,"(1, 8)",2022 EXTREME E #22 JBXE,#22 EXTREME E,,UNLIMITED OFFROAD,SEASONAL,SERIES 10,0
213,EXTREME E,"(1, 8)",2022 EXTREME E #23 GENESYS ANDRETTI UNITED,#23 EXTREME E,,UNLIMITED OFFROAD,SEASONAL,SERIES 10,0
214,EXTREME E,"(1, 8)",2022 EXTREME E #42 XITE RACING TEAM,#42 EXTREME E,,UNLIMITED OFFROAD,SEASONAL,SERIES 10,0
215,EXTREME E,"(1, 8)",2022 EXTREME E #44 X44,#44 EXTREME E,,UNLIMITED OFFROAD,SEASONAL,SERIES 10,0
216,EXTREME E,"(1, 8)",2022 EXTREME E #5 VELOCE RACING,#5 EXTREME E,,UNLIMITED OFFROAD,SEASONAL,SERIES 10,0
217,EXTREME E,"(1, 8)",2022 EXTREME E #55 ACCIONA / SAINZ XE TEAM,#55 EXTREME E,,UNLIMITED OFFROAD,SEASONAL,SERIES 10,0
218,EXTREME E,"(1, 8)",2022 EXTREME E #58 MCLAREN RACING,#58 EXTREME E,,UNLIMITED OFFROAD,SEASONAL,SERIES 10,0
219,EXTREME E,"(1, 8)",2022 EXTREME E #6 ROSBERG X RACING,#6 EXTREME E,,UNLIMITED OFFROAD,SEASONAL,SERIES 10,0
220,EXTREME E,"(1, 8)",2022 EXTREME E #99 CHIP GANASSI RACING GMC HUMMER EV,#99 EXTREME E,,UNLIMITED OFFROAD,AUTOSHOW,SERIES 10,0
221,FAST AND FURIOUS,"(2, 8)",1966 FAST AND FURIOUS CHEVROLET IMPALA SUPER SPORT 'FAST X',NOT FOUND,,TRACK TOYS,AUTOSHOW DLC,FAST X CAR PACK,0
222,FAST AND FURIOUS,"(2, 8)",1970 FAST AND FURIOUS DODGE CHARGER 'FAST X',NOT FOUND,,CLASSIC MUSCLE,AUTOSHOW DLC,FAST X CAR PACK,0
223,FAST AND FURIOUS,"(2, 8)",1973 FAST AND FURIOUS DATSUN 240Z 'FAST X',NOT FOUND,,CLASSIC SPORTS CARS,AUTOSHOW DLC,FAST X CAR PACK,0
224,FAST AND FURIOUS,"(2, 8)",2022 FAST AND FURIOUS DODGE CHARGER SRT HELLCAT REDEYE WIDEBODY 'FAST X',NOT FOUND,,MODERN MUSCLE,AUTOSHOW DLC,FAST X CAR PACK,0
225,FAST AND FURIOUS,"(2, 8)",2022 FAST AND FURIOUS FLIP CAR 2.0 'FAST X',NOT FOUND,,TRACK TOYS,AUTOSHOW DLC,FAST X CAR PACK,0
226,FERRARI,"(3, 8)",1957 FERRARI 250 CALIFORNIA,FERRARI 250 CALI,5.0,RARE CLASSICS,"AUTOSHOW, WHEELSPIN",,0
227,FERRARI,"(3, 8)",1957 FERRARI 250 TESTA ROSSA,FERRARI 250 TR,7.0,CLASSIC RACERS,"AUTOSHOW, WHEELSPIN",,0
228,FERRARI,"(3, 8)",1962 FERRARI 250 GT BERLINETTA LUSSO,FERRARI 250 GT,6.0,RARE CLASSICS,AUTOSHOW,SERIES 7,0
229,FERRARI,"(3, 8)",1962 FERRARI 250 GTO,FERRARI 250 GTO,,CLASSIC RACERS,BARN FIND,,0
230,FERRARI,"(3, 8)",1967 FERRARI #24 FERRARI SPA 330 P4,#24 FERRARI P4,1.0,CLASSIC RACERS,"AUTOSHOW, WHEELSPIN",,0
231,FERRARI,"(3, 8)",1968 FERRARI 365 GTB/4,FERRARI 365 GTB4,11.0,RARE CLASSICS,"AUTOSHOW, WHEELSPIN",,0
232,FERRARI,"(3, 8)",1969 FERRARI DINO 246 GT,FERRARI DINO,24.0,RARE CLASSICS,"WHEELSPIN, SEASONAL",,0
233,FERRARI,"(3, 8)",1970 FERRARI 512 S,FERRARI 512 S,,CLASSIC RACERS,AUTOSHOW,SERIES 28,0
234,FERRARI,"(3, 8)",1984 FERRARI 288 GTO,FERRARI 288 GTO,8.0,RETRO SUPERCARS,"AUTOSHOW, WHEELSPIN",,0
235,FERRARI,"(3, 8)",1987 FERRARI F40,FERRARI F40,,RETRO SUPERCARS,"AUTOSHOW, WHEELSPIN",,0
236,FERRARI,"(3, 8)",1989 FERRARI F40 COMPETIZIONE,FERRARI F40 C,,EXTREME TRACK TOYS,BARN FIND,,0
237,FERRARI,"(3, 8)",1992 FERRARI 512 TR,FERRARI 512TR,17.0,RETRO SUPERCARS,"BACKSTAGE, SEASONAL",SERIES 7,0
238,FERRARI,"(3, 8)",1994 FERRARI F355 BERLINETTA,FERRARI F355,27.0,RETRO SUPERCARS,"AUTOSHOW, WHEELSPIN",,0
239,FERRARI,"(3, 8)",1995 FERRARI F50,FERRARI F50,,RETRO SUPERCARS,"AUTOSHOW, WHEELSPIN",,0
240,FERRARI,"(3, 8)",1996 FERRARI F50 GT,FERRARI F50 GT,,EXTREME TRACK TOYS,"AUTOSHOW, WHEELSPIN",,0
241,FERRARI,"(3, 8)",2002 FERRARI 575M MARANELLO,FERRARI 575M,18.0,RETRO SUPERCARS,"BACKSTAGE, SEASONAL",SERIES 2,0
242,FERRARI,"(3, 8)",2002 FERRARI ENZO FERRARI,FERRARI ENZO,25.0,RETRO SUPERCARS,"AUTOSHOW, WHEELSPIN",,0
243,FERRARI,"(3, 8)",2003 FERRARI 360 CHALLENGE STRADALE,FERRARI 360 CS,10.0,RETRO SUPERCARS,"ACCOLADE, WHEELSPIN",,0
244,FERRARI,"(3, 8)",2005 FERRARI FXX,FERRARI FXX,31.0,EXTREME TRACK TOYS,"AUTOSHOW, WHEELSPIN",,0
245,FERRARI,"(3, 8)",2007 FERRARI 430 SCUDERIA,FERRARI 430 S,,MODERN SUPERCARS,"AUTOSHOW, WHEELSPIN",,0
246,FERRARI,"(3, 8)",2009 FERRARI 458 ITALIA,FERRARI 458,13.0,MODERN SUPERCARS,"AUTOSHOW, WHEELSPIN",,0
247,FERRARI,"(3, 8)",2010 FERRARI 599 GTO,FERRARI 599 GTO,19.0,SUPER GT,"BACKSTAGE, SEASONAL",SERIES 2,0
248,FERRARI,"(3, 8)",2010 FERRARI 599XX,FERRARI 599XX,20.0,EXTREME TRACK TOYS,AUTOSHOW,SERIES 13,0
249,FERRARI,"(3, 8)",2012 FERRARI 599XX EVOLUZIONE,FERRARI 599XX E,21.0,EXTREME TRACK TOYS,"AUTOSHOW, WHEELSPIN",,0
250,FERRARI,"(3, 8)",2013 FERRARI 458 SPECIALE,FERRARI 458 S,,TRACK TOYS,"WHEELSPIN, SEASONAL",,0
251,FERRARI,"(3, 8)",2013 FERRARI LAFERRARI,LAFERRARI,38.0,HYPERCARS,CAR COLLECTION,,0
252,FERRARI,"(3, 8)",2014 FERRARI CALIFORNIA T,FERRARI CALI T,23.0,SUPER GT,SEASONAL,SERIES 7,0
253,FERRARI,"(3, 8)",2014 FERRARI FXX K,FERRARI FXX K,33.0,EXTREME TRACK TOYS,"AUTOSHOW, WHEELSPIN",,0
254,FERRARI,"(3, 8)",2015 FERRARI 488 GTB,FERRARI 488 GTB,15.0,MODERN SUPERCARS,"AUTOSHOW, WHEELSPIN",,0
255,FERRARI,"(3, 8)",2015 FERRARI F12TDF,FERRARI F12TDF,26.0,SUPER GT,"AUTOSHOW, WHEELSPIN",,0
256,FERRARI,"(3, 8)",2017 FERRARI #25 CORSE CLIENTI 488 CHALLENGE,#25 FERRARI 488,,TRACK TOYS,AUTOSHOW DLC,CAR PASS,0
257,FERRARI,"(3, 8)",2017 FERRARI 812 SUPERFAST,FERRARI 812,22.0,SUPER GT,"AUTOSHOW, WHEELSPIN",,0
258,FERRARI,"(3, 8)",2017 FERRARI GTC4LUSSO,FERRARI GTC4L,,SUPER GT,ACCOLADE,,0
259,FERRARI,"(3, 8)",2017 FERRARI J50,FERRARI J50 '17,35.0,MODERN SUPERCARS,AUTOSHOW DLC,CAR PASS,0
260,FERRARI,"(3, 8)",2018 FERRARI FXX-K EVO,FERRARI FXX-K E,,EXTREME TRACK TOYS,AUTOSHOW DLC,CAR PASS,0
261,FERRARI,"(3, 8)",2018 FERRARI PORTOFINO,PORTOFINO '18,40.0,SUPER GT,"AUTOSHOW, WHEELSPIN",,0
262,FERRARI,"(3, 8)",2019 FERRARI #62 RISI COMPETITIZIONE 488 GTE,FERRARI #62 488,4.0,EXTREME TRACK TOYS,AUTOSHOW DLC,APEX ALLSTARS CAR PACK,0
263,FERRARI,"(3, 8)",2019 FERRARI 488 PISTA,488 PISTA '19,2.0,TRACK TOYS,"AUTOSHOW, WHEELSPIN",,0
264,FERRARI,"(3, 8)",2020 FERRARI F8 TRIBUTO,F8 TRIBUTO '20,,MODERN SUPERCARS,SEASONAL,SERIES 7,0
265,FERRARI,"(3, 8)",2019 FERRARI MONZA SP2,FERRARI MONZA,36.0,SUPER GT,AUTOSHOW DLC,CAR PASS,0
266,FERRARI,"(3, 8)",2020 FERRARI ROMA,FERRARI ROMA,37.0,SUPER GT,AUTOSHOW DLC,ITALIAN EXOTICS CAR PACK,0
267,FERRARI,"(3, 8)",2020 FERRARI SF90 STRADALE,FERRARI SF90,,HYPERCARS,SEASONAL,SERIES 7,0
268,FERRARI,"(3, 8)",2022 FERRARI 296 GTB,FERRARI 296 GTB,9.0,MODERN SUPERCARS,AUTOSHOW DLC,ITALIAN EXOTICS CAR PACK,0
269,FIAT,"(4, 8)",1969 FIAT DINO 2.4 COUPE,FIAT DINO,2.0,CLASSIC SPORTS CARS,SEASONAL,SERIES 29,0
270,FIAT,"(4, 8)",1980 FIAT 124 SPORT SPIDER,FIAT 124 SPIDER,1.0,CLASSIC SPORTS CARS,AUTOSHOW,SERIES 24,0
271,FORD,"(0, 9)",1932 FORD DE LUXE FIVE-WINDOW COUPE,FORD COUPE '32,19.0,RODS AND CUSTOMS,"AUTOSHOW, WHEELSPIN",,0
272,FORD,"(0, 9)",1932 FORD DE LUXE FIVE-WINDOW COUPE FORZA EDITION,FORD COUPE FE,21.0,UNLIMITED BUGGIES,PROMOTIONAL DLC,PROMO CODE,0
273,FORD,"(0, 9)",1940 FORD DE LUXE COUPE,FORD COUPE '40,20.0,RODS AND CUSTOMS,"AUTOSHOW, WHEELSPIN",,0
274,FORD,"(0, 9)",1946 FORD SUPER DELUXE STATION WAGON,FORD WOODY,,RODS AND CUSTOMS,SEASONAL,SERIES 14,0
275,FORD,"(0, 9)",1956 FORD F-100,FORD F-100,,RODS AND CUSTOMS,BARN FIND,,0
276,FORD,"(0, 9)",1959 FORD ANGLIA 105E,FORD ANGLIA,,CULT CARS,"AUTOSHOW, WHEELSPIN",,0
277,FORD,"(0, 9)",1964 FORD GT40 MK I,FORD GT40 '64,,CLASSIC RACERS,CAR COLLECTION,,0
278,FORD,"(0, 9)",1965 FORD MUSTANG GT COUPE,FORD MUSTANG '65,50.0,CLASSIC MUSCLE,"AUTOSHOW, WHEELSPIN",,0
279,FORD,"(0, 9)",1965 FORD TRANSIT,FORD TRANSIT MK1,,VANS & UTILITY,"AUTOSHOW, WHEELSPIN",,0
280,FORD,"(0, 9)",1966 FORD #2 GT40 MKII,#2 FORD GT40,,CLASSIC RACERS,"AUTOSHOW, WHEELSPIN",,0
281,FORD,"(0, 9)",1966 FORD LOTUS CORTINA,FORD CORTINA,18.0,CLASSIC RACERS,"AUTOSHOW, WHEELSPIN",,0
282,FORD,"(0, 9)",1967 FORD RACING ESCORT MK1,FORD ESCORT '67,,CLASSIC RALLY,BARN FIND,,0
283,FORD,"(0, 9)",1968 FORD MUSTANG GT 2+2 FASTBACK,FORD MUSTANG '68,,CLASSIC MUSCLE,BARN FIND,,0
284,FORD,"(0, 9)",1969 FORD MUSTANG BOSS 302,FORD MUSTANG '69,51.0,CLASSIC MUSCLE,"AUTOSHOW, WHEELSPIN",,0
285,FORD,"(0, 9)",1970 FORD GT70,FORD GT70 '70,42.0,CLASSIC RALLY,"AUTOSHOW, WHEELSPIN",,0
286,FORD,"(0, 9)",1971 FORD MUSTANG MACH 1,FORD MUSTANG '71,52.0,CLASSIC MUSCLE,SEASONAL,SERIES 3,0
287,FORD,"(0, 9)",1972 FORD FALCON XA GT-HO,FORD FALCON '72,29.0,CLASSIC MUSCLE,"AUTOSHOW, WHEELSPIN",,0
288,FORD,"(0, 9)",1973 FORD CAPRI RS3100,FORD CAPRI MKI,17.0,CLASSIC SPORTS CARS,"AUTOSHOW, WHEELSPIN",,0
289,FORD,"(0, 9)",1973 FORD ESCORT RS1600,FORD ESCORT '73,23.0,CLASSIC RALLY,"AUTOSHOW, WHEELSPIN",,0
290,FORD,"(0, 9)",1973 FORD XB FALCON GT,FORD XB FALCON,71.0,CLASSIC MUSCLE,SEASONAL,SERIES 23,0
291,FORD,"(0, 9)",1975 FORD BRONCO,FORD BRONCO,15.0,PICKUPS & 4X4S,"AUTOSHOW, WHEELSPIN",,0
292,FORD,"(0, 9)",1977 FORD #5 ESCORT RS1800 MKII,#5 ESCORT '77,7.0,CLASSIC RALLY,"AUTOSHOW, WHEELSPIN",,0
293,FORD,"(0, 9)",1977 FORD ESCORT RS1800,FORD ESCORT '77,24.0,CLASSIC RALLY,"AUTOSHOW, WHEELSPIN",,0
294,FORD,"(0, 9)",1981 FORD FIESTA XR2,FORD FIESTA '81,32.0,RETRO HOT HATCH,"WHEELSPIN, SEASONAL",,0
295,FORD,"(0, 9)",1985 FORD RS200 EVOLUTION,FORD RS200,,RALLY MONSTERS,"AUTOSHOW, WHEELSPIN",,0
296,FORD,"(0, 9)",1986 FORD ESCORT RS TURBO,FORD ESCORT RS,26.0,RETRO HOT HATCH,"AUTOSHOW, WHEELSPIN",,0
297,FORD,"(0, 9)",1986 FORD F-150 XLT LARIAT,FORD F-150 '86,27.0,PICKUPS & 4X4S,SEASONAL,SERIES 21,0
298,FORD,"(0, 9)",1986 FORD MUSTANG SVO,FORD MUSTANG SVO,55.0,RETRO MUSCLE,AUTOSHOW DLC,CAR PASS,0
299,FORD,"(0, 9)",1987 FORD SIERRA COSWORTH RS500,FORD RS500,,RETRO SALOONS,"AUTOSHOW, WHEELSPIN",,0
300,FORD,"(0, 9)",1992 FORD ESCORT RS COSWORTH,FORD ESCORT '92,25.0,RETRO RALLY,"AUTOSHOW, WHEELSPIN",,0
301,FORD,"(0, 9)",1993 FORD SVT COBRA R,FORD MUSTANG '93,53.0,RETRO MUSCLE,"AUTOSHOW, WHEELSPIN",,0
302,FORD,"(0, 9)",1994 FORD SUPERVAN 3,FORD SUPERVAN 3,65.0,TRACK TOYS,"AUTOSHOW, WHEELSPIN",,0
303,FORD,"(0, 9)",1994 FORD SUPERVAN 3 'DONUT MEDIA EDITION',SUPERVAN 3 DME,75.0,TRACK TOYS,ACCOLADE,SERIES 22,0
304,FORD,"(0, 9)",1999 FORD RACING PUMA,FORD RACING PUMA,57.0,RETRO RALLY,"AUTOSHOW, WHEELSPIN",,0
305,FORD,"(0, 9)",1999 FORD RACING PUMA FORZA EDITION,FORD PUMA FE,56.0,RALLY MONSTERS,AUTOSHOW DLC,VIP,0
306,FORD,"(0, 9)",2000 FORD SVT COBRA R,FORD MUSTANG '00,45.0,RETRO MUSCLE,"AUTOSHOW, WHEELSPIN",,0
307,FORD,"(0, 9)",2001 FORD #4 FORD FOCUS RS,#4 FORD FOCUS,6.0,RALLY MONSTERS,AUTOSHOW DLC,RALLY ADVENTURE EXPANSION,0
308,FORD,"(0, 9)",2003 FORD F-150 SVT LIGHTNING,FORD LIGHTNING,43.0,VANS & UTILITY,AUTOSHOW DLC,CAR PASS,0
309,FORD,"(0, 9)",2003 FORD FOCUS RS,FORD FOCUS '03,34.0,HOT HATCH,"AUTOSHOW, WHEELSPIN",,0
310,FORD,"(0, 9)",2003 FORD MUSTANG SVT COBRA,MUSTANG SVT '03,,RETRO MUSCLE,SEASONAL,SERIES 32,0
311,FORD,"(0, 9)",2005 FORD GT,FORD GT '05,38.0,RETRO SUPERCARS,"BACKSTAGE,  WHEELSPIN, SEASONAL",,0
312,FORD,"(0, 9)",2009 FORD FOCUS RS,FORD FOCUS '09,35.0,SUPER HOT HATCH,"AUTOSHOW, WHEELSPIN",,0
313,FORD,"(0, 9)",2010 FORD CROWN VICTORIA POLICE INTERCEPTOR,CROWN VICTORIA,12.0,RETRO MUSCLE,"AUTOSHOW, WHEELSPIN",,0
314,FORD,"(0, 9)",2011 FORD F-150 SVT RAPTOR,FORD RAPTOR '11,59.0,PICKUPS & 4X4S,"AUTOSHOW, WHEELSPIN",,0
315,FORD,"(0, 9)",2011 FORD TRANSIT SUPERSPORTVAN,FORD TRANSIT SSV,68.0,VANS & UTILITY,"AUTOSHOW, WHEELSPIN",,0
316,FORD,"(0, 9)",2013 FORD SHELBY GT500,FORD MUSTANG '13,46.0,MODERN MUSCLE,"AUTOSHOW, WHEELSPIN",,0
317,FORD,"(0, 9)",2014 FORD #11 ROCKSTAR F-150 TROPHY TRUCK,#11 FORD F-150,,UNLIMITED OFFROAD,"AUTOSHOW, WHEELSPIN",,0
318,FORD,"(0, 9)",2014 FORD FIESTA ST,FORD FIESTA '14,30.0,HOT HATCH,"AUTOSHOW, WHEELSPIN",,0
319,FORD,"(0, 9)",2014 FORD FPV LIMITED EDITION PURSUIT UTE,FORD UTE '14,69.0,VANS & UTILITY,"AUTOSHOW, WHEELSPIN",,0
320,FORD,"(0, 9)",2014 FORD RANGER T6 RALLY RAID,NOT FOUND,,OFFROAD,"AUTOSHOW, WHEELSPIN",,0
321,FORD,"(0, 9)",2015 FORD FALCON GT F 351,NOT FOUND,,MODERN MUSCLE,"AUTOSHOW, WHEELSPIN",,0
322,FORD,"(0, 9)",2016 FORD #66 FORD RACING GT LE MANS,#66 FORD GT,8.0,EXTREME TRACK TOYS,SEASONAL,SERIES 33,0
323,FORD,"(0, 9)",2016 FORD SHELBY GT350R,FORD MUSTANG '16,47.0,TRACK TOYS,"AUTOSHOW, WHEELSPIN",,0
324,FORD,"(0, 9)",2017 FORD #14 RAHAL LETTERMAN LANIGAN RACING GRC FIESTA,NOT FOUND,,RALLY MONSTERS,"WHEELSPIN, SEASONAL",,0
325,FORD,"(0, 9)",2017 FORD #25 'BROCKY' ULTRA4 BRONCO RTR,NOT FOUND,,UNLIMITED OFFROAD,"AUTOSHOW, WHEELSPIN",,0
326,FORD,"(0, 9)",2017 FORD F-150 RAPTOR,FORD RAPTOR '17,60.0,PICKUPS & 4X4S,"AUTOSHOW, WHEELSPIN",,0
327,FORD,"(0, 9)",2017 FORD FOCUS RS,FORD FOCUS '17,36.0,SUPER HOT HATCH,"AUTOSHOW, WHEELSPIN",,0
328,FORD,"(0, 9)",2017 FORD GT,FORD GT '17,39.0,MODERN SUPERCARS,AUTOSHOW,,0
329,FORD,"(0, 9)",2017 FORD GT 'OPI EDITION',FORD GT OPI,,MODERN SUPERCARS,PROMOTIONAL DLC,PROMO CODE,0
330,FORD,"(0, 9)",2017 FORD M-SPORT FIESTA RS,FORD FIESTA RS,33.0,RALLY MONSTERS,"AUTOSHOW, WHEELSPIN",,0
331,FORD,"(0, 9)",2018 FORD #25 MUSTANG RTR,#25 RTR MUSTANG,5.0,DRIFT CARS,"AUTOSHOW, WHEELSPIN",,0
332,FORD,"(0, 9)",2018 FORD #88 MUSTANG RTR,#88 RTR MUSTANG,9.0,DRIFT CARS,"AUTOSHOW, WHEELSPIN",,0
333,FORD,"(0, 9)",2018 FORD MUSTANG GT,FORD MUSTANG '18,,MODERN MUSCLE,"AUTOSHOW, WHEELSPIN",,0
334,FORD,"(0, 9)",2018 FORD MUSTANG RTR SPEC 5,FORD MUSTANG S5,,MODERN MUSCLE,"AUTOSHOW, WHEELSPIN",,0
335,FORD,"(0, 9)",2019 FORD RANGER RAPTOR,RANGER RAPTOR,74.0,PICKUPS & 4X4S,"WHEELSPIN, SEASONAL",,0
336,FORD,"(0, 9)",2020 FORD #2069 FORD PERFORMANCE BRONCO R 'WELCOME PACK',NOT FOUND,,OFFROAD,AUTOSHOW DLC,WELCOME PACK,0
337,FORD,"(0, 9)",2020 FORD #2069 FORD PERFORMANCE BRONCO R,#2069 BRONCO R,3.0,OFFROAD,"AUTOSHOW, WHEELSPIN",,0
338,FORD,"(0, 9)",2020 FORD MUSTANG SHELBY GT500,FORD GT500 '20,,MODERN MUSCLE,"AUTOSHOW, WHEELSPIN",,0
339,FORD,"(0, 9)",2020 FORD SUPER DUTY F-450 DRW PLATINUM,FORD SD F-450,64.0,PICKUPS & 4X4S,"AUTOSHOW, WHEELSPIN",,0
340,FORD,"(0, 9)",2021 FORD BRONCO,FORD BRONCO '21,16.0,PICKUPS & 4X4S,"AUTOSHOW, WHEELSPIN",,0
